Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
3,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,,+0.111 1'08.483,,,226.514,Quali,,,
4,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,,+0.405 1'08.777,,,225.546,Quali,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,,+0.454 1'08.826,,,225.385,Quali,,,
6,C. Leclerc  Ferrari,16,Ferrari,Ferrari,,+0.588 1'08.960,,,224.947,Quali,,,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,,+0.608 1'08.980,,,224.882,Quali,,,
8,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,,+0.667 1'09.039,,,224.69,Quali,,,
9,F. Alonso  Alpine,14,Alpine,Renault,,+0.741 1'09.113,,,224.449,Quali,,,
10,E. Ocon  Alpine,31,Alpine,Renault,,+0.817 1'09.189,,,224.203,Quali,,,
11,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,,+1.027 1'09.399,,,223.524,Quali,,,
12,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,,+1.111 1'09.483,,,223.254,Quali,,,
13,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,,+1.131 1'09.503,,,223.19,Quali,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,,+1.855 1'10.227,,,220.889,Quali,,,
15,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,,+1.291 1'09.663,,,222.677,Quali,,,
16,N. Latifi  Williams,6,Williams,Mercedes,,+1.525 1'09.897,,,221.932,Quali,,,
17,G. Russell  Williams,63,Williams,Mercedes,,+1.581 1'09.953,,,221.754,Quali,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,,+1.957 1'10.329,,,220.569,Quali,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,,+2.217 1'10.589,,,219.756,Quali,,,
20,L. Hamilton  Mercedes,44,Mercedes,Mercedes,,1'07.934,,,228.345,Quali,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,71.0,1:32'22.851,,,198.663,Race,4.0,25.0,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,71.0,+10.496 1:32'33.347,10.496,,198.288,Race,4.0,18.0,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,71.0,+13.576 1:32'36.427,3.080,,198.178,Race,4.0,15.0,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,71.0,+39.940 1:33'02.791,26.364,,197.242,Race,5.0,13.0,
5,C. Leclerc  Ferrari,16,Ferrari,Ferrari,71.0,+49.517 1:33'12.368,9.577,,196.904,Race,4.0,10.0,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,71.0,+51.820 1:33'14.671,2.303,,196.823,Race,4.0,8.0,
7,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,70.0,+1 Lap 1:32'27.043,1 Lap,,195.717,Race,4.0,6.0,
8,E. Ocon  Alpine,31,Alpine,Renault,70.0,+1 Lap 1:32'43.369,16.326,,195.142,Race,3.0,4.0,
9,F. Alonso  Alpine,14,Alpine,Renault,70.0,+1 Lap 1:32'43.860,0.491,,195.125,Race,3.0,2.0,
10,L. Norris  McLaren F1,4,McLaren,Mercedes,70.0,+1 Lap 1:32'46.857,2.997,,195.02,Race,5.0,1.0,
11,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,70.0,+1 Lap 1:32'48.145,1.288,,194.975,Race,4.0,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,70.0,+1 Lap 1:32'53.939,5.794,,194.772,Race,4.0,,
13,G. Russell  Williams,63,Williams,Mercedes,70.0,+1 Lap 1:33'20.939,27.000,,193.833,Race,4.0,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,70.0,+1 Lap 1:33'23.413,2.474,,193.748,Race,4.0,,
15,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,70.0,+1 Lap 1:33'27.652,4.239,,193.601,Race,5.0,,
16,N. Latifi  Williams,6,Williams,Mercedes,70.0,+1 Lap 1:33'31.663,4.011,,193.463,Race,4.0,,
17,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,69.0,+2 Laps 1:32'58.069,1 Lap,,191.847,Race,3.0,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,69.0,+2 Laps 1:33'35.425,37.356,,190.571,Race,5.0,,
dnf,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,49.0,+22 Laps 1:06'27.514,20 Laps,,190.567,Race,4.0,,Abandono
dnf,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,47.0,+24 Laps 1:04'21.731,2 Laps,,188.74,Race,4.0,,Abandono
