Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
9,F. Alonso  Alpine,14,Alpine,Renault,6.0,+0.733 1'04.574,0.06,,240.728,Q3,,,
10,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,3.0,+0.867 1'04.708,0.134,,240.229,Q3,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,,1'03.841,,,243.492,Quali,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,,+0.226 1'04.067,,,242.633,Quali,,,
3,L. Norris  McLaren F1,4,McLaren,Mercedes,,+0.279 1'04.120,,,242.432,Quali,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,,+0.327 1'04.168,,,242.251,Quali,,,
5,V. Bottas  Mercedes,77,Mercedes,Mercedes,,+0.194 1'04.035,,,242.754,Quali,,,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,,+0.395 1'04.236,,,241.995,Quali,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,,+0.631 1'04.472,,,241.109,Quali,,,
8,F. Alonso  Alpine,14,Alpine,Renault,,+0.733 1'04.574,,,240.728,Quali,,,
9,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,,+0.867 1'04.708,,,240.229,Quali,,,
10,G. Russell  Williams,63,Williams,Mercedes,,+0.830 1'04.671,,,240.367,Quali,,,
11,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,,+0.673 1'04.514,,,240.952,Quali,,,
12,C. Sainz  Ferrari,55,Ferrari,Ferrari,,+0.959 1'04.800,,,239.888,Quali,,,
13,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,,+0.967 1'04.808,,,239.859,Quali,,,
14,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,,+1.034 1'04.875,,,239.611,Quali,,,
15,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,,+1.072 1'04.913,,,239.471,Quali,,,
16,N. Latifi  Williams,6,Williams,Mercedes,,+1.334 1'05.175,,,238.508,Quali,,,
17,E. Ocon  Alpine,31,Alpine,Renault,,+1.376 1'05.217,,,238.355,Quali,,,
18,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,,+1.588 1'05.429,,,237.582,Quali,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,,+2.200 1'06.041,,,235.381,Quali,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,,+2.351 1'06.192,,,234.844,Quali,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,71.0,1:22'18.925,,,223.373,Race,1.0,25.0,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,71.0,+35.743 1:22'54.668,35.743,,221.769,Race,2.0,19.0,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,71.0,+46.907 1:23'05.832,11.164,,221.272,Race,1.0,15.0,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,71.0,+47.434 1:23'06.359,0.527,,221.249,Race,2.0,12.0,
5,L. Norris  McLaren F1,4,McLaren,Mercedes,70.0,+1 Lap 1:22'24.281,1 Lap,,219.987,Race,1.0,10.0,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,70.0,+1 Lap 1:22'31.243,6.962,,219.678,Race,1.0,8.0,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,70.0,+1 Lap 1:22'43.757,12.514,,219.124,Race,2.0,6.0,
8,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,70.0,+1 Lap 1:22'59.121,15.364,,218.448,Race,1.0,4.0,
9,F. Alonso  Alpine,14,Alpine,Renault,70.0,+1 Lap 1:23'00.099,0.978,,218.405,Race,1.0,2.0,
10,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,70.0,+1 Lap 1:23'00.774,0.675,,218.376,Race,1.0,1.0,
11,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,70.0,+1 Lap 1:23'03.208,2.434,,218.269,Race,1.0,,
12,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,70.0,+1 Lap 1:23'08.210,5.002,,218.05,Race,1.0,,
13,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,70.0,+1 Lap 1:23'09.506,1.296,,217.994,Race,1.0,,
14,E. Ocon  Alpine,31,Alpine,Renault,70.0,+1 Lap 1:23'10.959,1.453,,217.93,Race,1.0,,
15,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,70.0,+1 Lap 1:23'17.947,6.988,,217.625,Race,1.0,,
16,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,69.0,+2 Laps 1:23'01.861,1 Lap,,215.208,Race,1.0,,
17,N. Latifi  Williams,6,Williams,Mercedes,68.0,+3 Laps 1:22'22.430,1 Lap,,213.78,Race,2.0,,
18,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,68.0,+3 Laps 1:22'30.819,8.389,,213.417,Race,1.0,,
dnf,G. Russell  Williams,63,Williams,Mercedes,36.0,+35 Laps 44'25.454,32 Laps,,209.78,Race,3.0,,Abandono
dnf,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,1.0,+70 Laps 2'03.661,35 Laps,,122.036,Race,1.0,,ColisiÃ³n
