Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
8,F. Alonso  Alpine,14,Alpine,Renault,53.0,+1'17.695 1:28'43.465,1.099,,209.428,Race,1.0,4.0,
9,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,53.0,+1'19.666 1:28'45.436,1.971,,209.35,Race,1.0,2.0,
10,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,53.0,+1'31.946 1:28'57.716,12.280,,208.869,Race,1.0,1.0,
11,C. Sainz  Ferrari,55,Ferrari,Ferrari,53.0,+1'39.337 1:29'05.107,7.391,,208.58,Race,1.0,,
12,G. Russell  Williams,63,Williams,Mercedes,52.0,+1 Lap 1:27'33.819,1 Lap,,208.201,Race,1.0,,
13,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,52.0,+1 Lap 1:27'38.141,4.322,,208.03,Race,1.0,,
14,E. Ocon  Alpine,31,Alpine,Renault,52.0,+1 Lap 1:27'38.887,0.746,,208.0,Race,1.0,,
15,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,52.0,+1 Lap 1:27'43.366,4.479,,207.823,Race,1.0,,
16,C. Leclerc  Ferrari,16,Ferrari,Ferrari,52.0,+1 Lap 1:27'46.644,3.278,,207.694,Race,2.0,,
17,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,52.0,+1 Lap 1:27'48.454,1.810,,207.623,Race,1.0,,
18,N. Latifi  Williams,6,Williams,Mercedes,52.0,+1 Lap 1:27'49.221,0.767,,207.592,Race,1.0,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,52.0,+1 Lap 1:28'19.907,30.686,,206.39,Race,1.0,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,52.0,+1 Lap 1:28'34.002,14.095,,205.843,Race,1.0,,
