Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,6.0,+0.355 1'16.569,0.145,,205.978,Q1,,,
4,C. Sainz  Ferrari,55,Ferrari,Ferrari,3.0,+0.435 1'16.649,0.08,,205.763,Q1,,,
5,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,3.0,+0.660 1'16.874,0.225,,205.161,Q1,,,
6,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,6.0,+0.824 1'17.038,0.164,,204.724,Q1,,,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,5.0,+0.867 1'17.081,0.043,,204.61,Q1,,,
8,C. Leclerc  Ferrari,16,Ferrari,Ferrari,5.0,+0.870 1'17.084,0.003,,204.602,Q1,,,
9,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,6.0,+0.891 1'17.105,0.021,,204.547,Q1,,,
10,F. Alonso  Alpine,14,Alpine,Renault,3.0,+0.909 1'17.123,0.018,,204.499,Q1,,,
11,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,5.0,+1.019 1'17.233,0.11,,204.208,Q1,,,
12,E. Ocon  Alpine,31,Alpine,Renault,3.0,+1.153 1'17.367,0.134,,203.854,Q1,,,
13,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,9.0,+1.339 1'17.553,0.186,,203.365,Q1,,,
14,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,7.0,+1.450 1'17.664,0.111,,203.074,Q1,,,
15,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,9.0,+1.562 1'17.776,0.112,,202.782,Q1,,,
16,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,8.0,+1.705 1'17.919,0.143,,202.41,Q1,,,
17,G. Russell  Williams,63,Williams,Mercedes,8.0,+1.730 1'17.944,0.025,,202.345,Q1,,,
18,N. Latifi  Williams,6,Williams,Mercedes,8.0,+1.822 1'18.036,0.092,,202.106,Q1,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,9.0,+2.708 1'18.922,0.886,,199.837,Q1,,,
20,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,0.0,,,,,Q1,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,8.0,1'15.650,,,208.481,Q2,,,
2,L. Norris  McLaren F1,4,McLaren,Mercedes,6.0,+0.735 1'16.385,0.735,,206.475,Q2,,,
3,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,6.0,+0.744 1'16.394,0.009,,206.45,Q2,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,6.0,+0.793 1'16.443,0.049,,206.318,Q2,,,
5,F. Alonso  Alpine,14,Alpine,Renault,6.0,+0.891 1'16.541,0.098,,206.054,Q2,,,
6,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,+0.903 1'16.553,0.012,,206.021,Q2,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,6.0,+0.924 1'16.574,0.021,,205.965,Q2,,,
8,V. Bottas  Mercedes,77,Mercedes,Mercedes,6.0,+1.052 1'16.702,0.128,,205.621,Q2,,,
9,E. Ocon  Alpine,31,Alpine,Renault,6.0,+1.116 1'16.766,0.064,,205.45,Q2,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,6.0,+1.144 1'16.794,0.028,,205.375,Q2,,,
11,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,6.0,+1.221 1'16.871,0.077,,205.169,Q2,,,
12,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,6.0,+1.243 1'16.893,0.022,,205.11,Q2,,,
13,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,6.0,+1.914 1'17.564,0.671,,203.336,Q2,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,3.0,+1.933 1'17.583,0.019,,203.286,Q2,,,
15,C. Sainz  Ferrari,55,Ferrari,Ferrari,2.0,,,,,Q2,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,1'15.419,,,209.119,Q3,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,6.0,+0.315 1'15.734,0.315,,208.249,Q3,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,6.0,+0.421 1'15.840,0.106,,207.958,Q3,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,5.0,+1.002 1'16.421,0.581,,206.377,Q3,,,
5,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,6.0,+1.064 1'16.483,0.062,,206.21,Q3,,,
6,L. Norris  McLaren F1,4,McLaren,Mercedes,6.0,+1.070 1'16.489,0.006,,206.194,Q3,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,6.0,+1.077 1'16.496,0.007,,206.175,Q3,,,
8,E. Ocon  Alpine,31,Alpine,Renault,6.0,+1.234 1'16.653,0.157,,205.753,Q3,,,
9,F. Alonso  Alpine,14,Alpine,Renault,6.0,+1.296 1'16.715,0.062,,205.586,Q3,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,3.0,+1.331 1'16.750,0.035,,205.493,Q3,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,,1'15.419,,,209.119,Quali,,,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,,+0.315 1'15.734,,,208.249,Quali,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,,+0.421 1'15.840,,,207.958,Quali,,,
