Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
8,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,8.0,+1.232 1'46.361,0.001,,197.937,Q2,,,
9,G. Russell  Williams,63,Williams,Mercedes,9.0,+1.306 1'46.435,0.074,,197.799,Q2,,,
10,C. Sainz  Ferrari,55,Ferrari,Ferrari,8.0,+1.392 1'46.521,0.086,,197.639,Q2,,,
11,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,8.0,+1.444 1'46.573,0.052,,197.543,Q2,,,
12,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,9.0,+1.512 1'46.641,0.068,,197.417,Q2,,,
13,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,9.0,+1.622 1'46.751,0.11,,197.214,Q2,,,
14,N. Latifi  Williams,6,Williams,Mercedes,2.0,,,,,Q2,,,
15,C. Leclerc  Ferrari,16,Ferrari,Ferrari,0.0,,,,,Q2,,,
1,L. Norris  McLaren F1,4,McLaren,Mercedes,7.0,1'41.993,,,206.414,Q3,,,
2,C. Sainz  Ferrari,55,Ferrari,Ferrari,7.0,+0.517 1'42.510,0.517,,205.373,Q3,,,
3,G. Russell  Williams,63,Williams,Mercedes,7.0,+0.990 1'42.983,0.473,,204.429,Q3,,,
4,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,+2.057 1'44.050,1.067,,202.333,Q3,,,
5,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,7.0,+2.163 1'44.156,0.106,,202.127,Q3,,,
6,F. Alonso  Alpine,14,Alpine,Renault,7.0,+2.211 1'44.204,0.048,,202.034,Q3,,,
7,V. Bottas  Mercedes,77,Mercedes,Mercedes,7.0,+2.717 1'44.710,0.506,,201.058,Q3,,,
8,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,7.0,+2.963 1'44.956,0.246,,200.586,Q3,,,
9,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,7.0,+3.344 1'45.337,0.381,,199.861,Q3,,,
10,E. Ocon  Alpine,31,Alpine,Renault,7.0,+3.872 1'45.865,0.528,,198.864,Q3,,,
1,L. Norris  McLaren F1,4,McLaren,Mercedes,,1'41.993,,,206.414,Quali,,,
2,C. Sainz  Ferrari,55,Ferrari,Ferrari,,+0.517 1'42.510,,,205.373,Quali,,,
3,G. Russell  Williams,63,Williams,Mercedes,,+0.990 1'42.983,,,204.429,Quali,,,
4,L. Hamilton  Mercedes,44,Mercedes,Mercedes,,+2.057 1'44.050,,,202.333,Quali,,,
5,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,,+2.163 1'44.156,,,202.127,Quali,,,
6,F. Alonso  Alpine,14,Alpine,Renault,,+2.211 1'44.204,,,202.034,Quali,,,
7,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,,+2.963 1'44.956,,,200.586,Quali,,,
8,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,,+3.344 1'45.337,,,199.861,Quali,,,
9,E. Ocon  Alpine,31,Alpine,Renault,,+3.872 1'45.865,,,198.864,Quali,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,,+4.580 1'46.573,,,197.543,Quali,,,
11,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,,+4.648 1'46.641,,,197.417,Quali,,,
12,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,,+4.758 1'46.751,,,197.214,Quali,,,
13,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,,+7.593 1'49.586,,,192.112,Quali,,,
14,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,,+7.837 1'49.830,,,191.685,Quali,,,
15,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,,+11.771 1'53.764,,,185.056,Quali,,,
16,V. Bottas  Mercedes,77,Mercedes,Mercedes,,+2.717 1'44.710,,,201.058,Quali,,,
17,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,,+9.030 1'51.023,,,189.625,Quali,,,
18,N. Latifi  Williams,6,Williams,Mercedes,,,,,,Quali,,,
19,C. Leclerc  Ferrari,16,Ferrari,Ferrari,,,,,,Quali,,,
20,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,,,,,,Quali,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,53.0,1:30'41.001,,,204.94,Race,2.0,25.0,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,53.0,+53.271 1:31'34.272,53.271,,202.953,Race,2.0,18.0,
