Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
10,C. Sainz  Ferrari,55,Ferrari,Ferrari,,+0.839 1'04.559,,,240.784,Quali,,,
11,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,,+0.850 1'04.570,,,240.743,Quali,,,
12,C. Leclerc  Ferrari,16,Ferrari,Ferrari,,+0.880 1'04.600,,,240.631,Quali,,,
13,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,,+0.999 1'04.719,,,240.189,Quali,,,
14,F. Alonso  Alpine,14,Alpine,Renault,,+1.136 1'04.856,,,239.681,Quali,,,
15,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,,+1.363 1'05.083,,,238.845,Quali,,,
16,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,,+1.289 1'05.009,,,239.117,Quali,,,
17,E. Ocon  Alpine,31,Alpine,Renault,,+1.331 1'05.051,,,238.963,Quali,,,
18,N. Latifi  Williams,6,Williams,Mercedes,,+1.475 1'05.195,,,238.435,Quali,,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,,+1.707 1'05.427,,,237.589,Quali,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,,+2.231 1'05.951,,,235.702,Quali,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,71.0,1:23'54.543,,,219.131,Race,2.0,26.0,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,71.0,+17.973 1:24'12.516,17.973,,218.352,Race,1.0,18.0,
3,L. Norris  McLaren F1,4,McLaren,Mercedes,71.0,+20.019 1:24'14.562,2.046,,218.263,Race,1.0,15.0,
4,L. Hamilton  Mercedes,44,Mercedes,Mercedes,71.0,+46.452 1:24'40.995,26.433,,217.128,Race,2.0,12.0,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,71.0,+57.144 1:24'51.687,10.692,,216.672,Race,1.0,10.0,
6,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,71.0,+57.915 1:24'52.458,0.771,,216.639,Race,1.0,8.0,
7,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,71.0,+1'00.395 1:24'54.938,2.480,,216.533,Race,1.0,6.0,
8,C. Leclerc  Ferrari,16,Ferrari,Ferrari,71.0,+1'01.195 1:24'55.738,0.800,,216.499,Race,1.0,4.0,
9,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,71.0,+1'01.844 1:24'56.387,0.649,,216.472,Race,2.0,2.0,
10,F. Alonso  Alpine,14,Alpine,Renault,70.0,+1 Lap 1:24'05.587,1 Lap,,215.571,Race,1.0,1.0,
11,G. Russell  Williams,63,Williams,Mercedes,70.0,+1 Lap 1:24'11.219,5.632,,215.33,Race,1.0,,
12,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,70.0,+1 Lap 1:24'21.962,10.743,,214.873,Race,2.0,,
13,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,70.0,+1 Lap 1:24'28.620,6.658,,214.591,Race,2.0,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,70.0,+1 Lap 1:24'31.561,2.941,,214.466,Race,2.0,,
15,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,70.0,+1 Lap 1:24'59.438,27.877,,213.294,Race,1.0,,
16,N. Latifi  Williams,6,Williams,Mercedes,70.0,+1 Lap 1:25'07.844,8.406,,212.943,Race,1.0,,
dnf,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,69.0,+2 Laps 1:23'02.087,1 Lap,,215.198,Race,3.0,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,69.0,+2 Laps 1:24'00.507,58.420,,212.704,Race,1.0,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,69.0,+2 Laps 1:25'21.577,1'21.070,,209.337,Race,2.0,,
dnf,E. Ocon  Alpine,31,Alpine,Renault,0.0,,,,,Race,,,ColisiÃ³n
