Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
19,C. Sainz  Ferrari,55,Ferrari,Ferrari,,,,,,Quali,,,
20,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,,+2.883 1'25.881,,,223.76,Quali,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,58.0,1:31'04.103,,,203.844,Race,1.0,26.0,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,58.0,+14.584 1:31'18.687,14.584,,203.301,Race,1.0,18.0,
3,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,58.0,+33.471 1:31'37.574,18.887,,202.603,Race,1.0,15.0,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,58.0,+37.814 1:31'41.917,4.343,,202.443,Race,1.0,12.0,
5,L. Hamilton  Mercedes,44,Mercedes,Mercedes,58.0,+41.812 1:31'45.915,3.998,,202.296,Race,1.0,10.0,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,58.0,+44.292 1:31'48.395,2.480,,202.205,Race,1.0,8.0,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,58.0,+47.213 1:31'51.316,2.921,,202.097,Race,1.0,6.0,
8,C. Sainz  Ferrari,55,Ferrari,Ferrari,58.0,+51.526 1:31'55.629,4.313,,201.939,Race,1.0,4.0,
9,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,58.0,+1'22.018 1:32'26.121,30.492,,200.829,Race,1.0,2.0,
10,E. Ocon  Alpine,31,Alpine,Renault,57.0,+1 Lap 1:31'14.837,1 Lap,,199.934,Race,,1.0,
11,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,57.0,+1 Lap 1:31'15.592,0.755,,199.906,Race,1.0,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,57.0,+1 Lap 1:31'20.625,5.033,,199.723,Race,1.0,,
13,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,57.0,+1 Lap 1:31'23.174,2.549,,199.63,Race,1.0,,
14,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,57.0,+1 Lap 1:31'28.529,5.355,,199.435,Race,1.0,,
15,G. Russell  Williams,63,Williams,Mercedes,57.0,+1 Lap 1:31'32.219,3.690,,199.301,Race,1.0,,
16,F. Alonso  Alpine,14,Alpine,Renault,57.0,+1 Lap 1:31'34.608,2.389,,199.215,Race,1.0,,
17,N. Latifi  Williams,6,Williams,Mercedes,57.0,+1 Lap 1:31'40.119,5.511,,199.015,Race,1.0,,
18,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,57.0,+1 Lap 1:31'59.986,19.867,,198.299,Race,2.0,,
19,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,56.0,+2 Laps 1:31'23.389,1 Lap,,196.118,Race,1.0,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,56.0,+2 Laps 1:31'47.531,24.142,,195.258,Race,1.0,,
