Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,1'16.741,,,218.37,Q3,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,6.0,+0.036 1'16.777,0.036,,218.268,Q3,,,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,6.0,+0.132 1'16.873,0.096,,217.995,Q3,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,6.0,+0.769 1'17.510,0.637,,216.204,Q3,,,
5,E. Ocon  Alpine,31,Alpine,Renault,6.0,+0.839 1'17.580,0.07,,216.009,Q3,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,6.0,+0.879 1'17.620,0.04,,215.897,Q3,,,
7,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,5.0,+0.881 1'17.622,0.002,,215.892,Q3,,,
8,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,5.0,+0.960 1'17.701,0.079,,215.672,Q3,,,
9,L. Norris  McLaren F1,4,McLaren,Mercedes,6.0,+1.269 1'18.010,0.309,,214.818,Q3,,,
10,F. Alonso  Alpine,14,Alpine,Renault,6.0,+1.406 1'18.147,0.137,,214.442,Q3,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,,1'16.741,,,218.37,Quali,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,,+0.036 1'16.777,,,218.268,Quali,,,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,,+0.132 1'16.873,,,217.995,Quali,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,,+0.769 1'17.510,,,216.204,Quali,,,
5,E. Ocon  Alpine,31,Alpine,Renault,,+0.839 1'17.580,,,216.009,Quali,,,
6,C. Sainz  Ferrari,55,Ferrari,Ferrari,,+0.879 1'17.620,,,215.897,Quali,,,
7,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,,+0.881 1'17.622,,,215.892,Quali,,,
8,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,,+0.960 1'17.701,,,215.672,Quali,,,
9,L. Norris  McLaren F1,4,McLaren,Mercedes,,+1.269 1'18.010,,,214.818,Quali,,,
10,F. Alonso  Alpine,14,Alpine,Renault,,+1.406 1'18.147,,,214.442,Quali,,,
11,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,,+1.233 1'17.974,,,214.917,Quali,,,
12,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,,+1.241 1'17.982,,,214.895,Quali,,,
13,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,,+1.338 1'18.079,,,214.628,Quali,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,,+1.615 1'18.356,,,213.87,Quali,,,
15,G. Russell  Williams,63,Williams,Mercedes,,+2.413 1'19.154,,,211.713,Quali,,,
16,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,,+1.815 1'18.556,,,213.325,Quali,,,
17,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,,+2.176 1'18.917,,,212.349,Quali,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,,+2.376 1'19.117,,,211.812,Quali,,,
19,N. Latifi  Williams,6,Williams,Mercedes,,+2.478 1'19.219,,,211.54,Quali,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,,+3.066 1'19.807,,,209.981,Quali,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,66.0,1:33'07.680,,,198.709,Race,2.0,25.0,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,66.0,+15.841 1:33'23.521,15.841,,198.147,Race,2.0,19.0,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,66.0,+26.610 1:33'34.290,10.769,,197.767,Race,2.0,15.0,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,66.0,+54.616 1:34'02.296,28.006,,196.786,Race,2.0,12.0,
5,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,66.0,+1'03.671 1:34'11.351,9.055,,196.47,Race,2.0,10.0,
6,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,66.0,+1'13.768 1:34'21.448,10.097,,196.12,Race,2.0,8.0,
7,C. Sainz  Ferrari,55,Ferrari,Ferrari,66.0,+1'14.670 1:34'22.350,0.902,,196.089,Race,2.0,6.0,
8,L. Norris  McLaren F1,4,McLaren,Mercedes,65.0,+1 Lap 1:33'32.265,1 Lap,,194.84,Race,2.0,4.0,
9,E. Ocon  Alpine,31,Alpine,Renault,65.0,+1 Lap 1:33'46.241,13.976,,194.356,Race,1.0,2.0,
10,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,65.0,+1 Lap 1:33'46.431,0.190,,194.349,Race,2.0,1.0,
11,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,65.0,+1 Lap 1:33'51.667,5.236,,194.169,Race,2.0,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,65.0,+1 Lap 1:33'52.826,1.159,,194.129,Race,1.0,,
13,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,65.0,+1 Lap 1:33'57.046,4.220,,193.983,Race,2.0,,
14,G. Russell  Williams,63,Williams,Mercedes,65.0,+1 Lap 1:34'06.452,9.406,,193.66,Race,2.0,,
15,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,65.0,+1 Lap 1:34'08.166,1.714,,193.602,Race,2.0,,
16,N. Latifi  Williams,6,Williams,Mercedes,65.0,+1 Lap 1:34'17.872,9.706,,193.269,Race,3.0,,
17,F. Alonso  Alpine,14,Alpine,Renault,65.0,+1 Lap 1:34'18.194,0.322,,193.258,Race,2.0,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,64.0,+2 Laps 1:33'11.392,1 Lap,,192.557,Race,2.0,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,64.0,+2 Laps 1:34'01.254,49.862,,190.855,Race,2.0,,
dnf,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,6.0,+60 Laps 8'49.179,58 Laps,,189.966,Race,,,Unidad de Potencia
