Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
12,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,6.0,+1.250 1'27.273,0.028,,243.002,Q2,,,
13,E. Ocon  Alpine,31,Alpine,Renault,6.0,+1.317 1'27.340,0.067,,242.816,Q2,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,6.0,+1.594 1'27.617,0.277,,242.048,Q2,,,
15,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,6.0,+1.642 1'27.665,0.048,,241.916,Q2,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,7.0,1'26.134,,,246.216,Q3,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,7.0,+0.075 1'26.209,0.075,,246.002,Q3,,,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,7.0,+0.194 1'26.328,0.119,,245.663,Q3,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,6.0,+0.694 1'26.828,0.5,,244.248,Q3,,,
5,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,6.0,+0.710 1'26.844,0.016,,244.203,Q3,,,
6,L. Norris  McLaren F1,4,McLaren,Mercedes,6.0,+0.763 1'26.897,0.053,,244.054,Q3,,,
7,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,6.0,+0.765 1'26.899,0.002,,244.048,Q3,,,
8,G. Russell  Williams,63,Williams,Mercedes,3.0,+0.837 1'26.971,0.072,,243.846,Q3,,,
9,C. Sainz  Ferrari,55,Ferrari,Ferrari,6.0,+0.873 1'27.007,0.036,,243.745,Q3,,,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,6.0,+1.045 1'27.179,0.172,,243.265,Q3,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,,1'26.134,,,246.216,Quali,,,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,,+0.075 1'26.209,,,246.002,Quali,,,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,,+0.194 1'26.328,,,245.663,Quali,,,
