Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,9.0,+2.840 1'25.685,0.779,,221.877,Q1,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,7.0,1'22.800,,,229.608,Q2,,,
2,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,8.0,+0.335 1'23.135,0.335,,228.683,Q2,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,6.0,+0.345 1'23.145,0.01,,228.655,Q2,,,
4,C. Sainz  Ferrari,55,Ferrari,Ferrari,6.0,+0.374 1'23.174,0.029,,228.576,Q2,,,
5,C. Leclerc  Ferrari,16,Ferrari,Ferrari,6.0,+0.402 1'23.202,0.028,,228.499,Q2,,,
6,V. Bottas  Mercedes,77,Mercedes,Mercedes,8.0,+0.446 1'23.246,0.044,,228.378,Q2,,,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,8.0,+0.456 1'23.256,0.01,,228.351,Q2,,,
8,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,7.0,+0.604 1'23.404,0.148,,227.945,Q2,,,
9,E. Ocon  Alpine,31,Alpine,Renault,6.0,+0.620 1'23.420,0.016,,227.902,Q2,,,
10,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,6.0,+0.648 1'23.448,0.028,,227.825,Q2,,,
11,F. Alonso  Alpine,14,Alpine,Renault,6.0,+0.660 1'23.460,0.012,,227.792,Q2,,,
12,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,7.0,+1.243 1'24.043,0.583,,226.212,Q2,,,
13,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,7.0,+1.266 1'24.066,0.023,,226.15,Q2,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,8.0,+1.451 1'24.251,0.185,,225.654,Q2,,,
15,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,8.0,+1.505 1'24.305,0.054,,225.509,Q2,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,7.0,1'22.109,,,231.541,Q3,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,7.0,+0.371 1'22.480,0.371,,230.499,Q3,,,
3,L. Norris  McLaren F1,4,McLaren,Mercedes,7.0,+0.822 1'22.931,0.451,,229.245,Q3,,,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,7.0,+0.838 1'22.947,0.016,,229.201,Q3,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,6.0,+0.883 1'22.992,0.045,,229.077,Q3,,,
6,V. Bottas  Mercedes,77,Mercedes,Mercedes,6.0,+0.927 1'23.036,0.044,,228.956,Q3,,,
