Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
9,F. Alonso  Alpine,14,Alpine,Renault,3.0,+1.252 1'30.249,0.034,,215.882,Q3,,,
10,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,3.0,+1.604 1'30.601,0.352,,215.043,Q3,,,
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,,1'28.997,,,218.919,Quali,,,
2,L. Hamilton  Mercedes,44,Mercedes,Mercedes,,+0.388 1'29.385,,,217.969,Quali,,,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,,+0.589 1'29.586,,,217.48,Quali,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,,+0.681 1'29.678,,,217.257,Quali,,,
5,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,,+0.812 1'29.809,,,216.94,Quali,,,
6,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,,+0.930 1'29.927,,,216.655,Quali,,,
7,L. Norris  McLaren F1,4,McLaren,Mercedes,,+0.977 1'29.974,,,216.542,Quali,,,
8,C. Sainz  Ferrari,55,Ferrari,Ferrari,,+1.218 1'30.215,,,215.964,Quali,,,
9,F. Alonso  Alpine,14,Alpine,Renault,,+1.252 1'30.249,,,215.882,Quali,,,
10,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,,+1.604 1'30.601,,,215.043,Quali,,,
11,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,,+1.662 1'30.659,,,214.906,Quali,,,
12,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,,+1.711 1'30.708,,,214.79,Quali,,,
13,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,,+2.206 1'31.203,,,213.624,Quali,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,,+2.241 1'31.238,,,213.542,Quali,,,
15,G. Russell  Williams,63,Williams,Mercedes,,+4.433 1'33.430,,,208.532,Quali,,,
16,E. Ocon  Alpine,31,Alpine,Renault,,+2.727 1'31.724,,,212.411,Quali,,,
17,N. Latifi  Williams,6,Williams,Mercedes,,+2.939 1'31.936,,,211.921,Quali,,,
18,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,,+3.452 1'32.449,,,210.745,Quali,,,
19,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,,+4.276 1'33.273,,,208.883,Quali,,,
20,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,,+3.059 1'32.056,,,211.645,Quali,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,56.0,1:32'03.897,,,197.355,Race,2.0,25.0,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,56.0,+0.745 1:32'04.642,0.745,,197.329,Race,2.0,18.0,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,56.0,+37.383 1:32'41.280,36.638,,196.029,Race,3.0,16.0,
4,L. Norris  McLaren F1,4,McLaren,Mercedes,56.0,+46.466 1:32'50.363,9.083,,195.709,Race,2.0,12.0,
5,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,56.0,+52.047 1:32'55.944,5.581,,195.513,Race,3.0,10.0,
6,C. Leclerc  Ferrari,16,Ferrari,Ferrari,56.0,+59.090 1:33'02.987,7.043,,195.267,Race,2.0,8.0,
7,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,56.0,+1'06.004 1:33'09.901,6.914,,195.025,Race,2.0,6.0,
8,C. Sainz  Ferrari,55,Ferrari,Ferrari,56.0,+1'07.100 1:33'10.997,1.096,,194.987,Race,2.0,4.0,
9,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,56.0,+1'25.692 1:33'29.589,18.592,,194.341,Race,2.0,2.0,
10,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,56.0,+1'26.713 1:33'30.610,1.021,,194.305,Race,2.0,1.0,
11,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,56.0,+1'28.864 1:33'32.761,2.151,,194.231,Race,2.0,,
12,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,55.0,+1 Lap 1:32'09.295,1 Lap,,193.639,Race,2.0,,
13,E. Ocon  Alpine,31,Alpine,Renault,55.0,+1 Lap 1:32'19.995,10.700,,193.265,Race,2.0,,
14,G. Russell  Williams,63,Williams,Mercedes,55.0,+1 Lap 1:32'21.854,1.859,,193.2,Race,2.0,,
15,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,55.0,+1 Lap 1:32'42.439,20.585,,192.485,Race,1.0,,
16,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,55.0,+1 Lap 1:33'20.704,38.265,,191.17,Race,2.0,,
dnf,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,52.0,+4 Laps 1:27'41.866,3 Laps,,192.372,Race,4.0,,Abandono
dnf,N. Latifi  Williams,6,Williams,Mercedes,51.0,+5 Laps 1:27'10.489,1 Lap,,189.802,Race,3.0,,Abandono
dnf,F. Alonso  Alpine,14,Alpine,Renault,32.0,+24 Laps 55'21.634,19 Laps,,187.43,Race,3.0,,Frenos
dnf,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,0.0,,,,,Race,,,Trompo
