Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
4,E. Ocon  Alpine,31,Alpine,Renault,50.0,+27.633 2:06'42.751,0.102,,146.055,Race,2.0,12.0,
5,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,50.0,+40.121 2:06'55.239,12.488,,145.815,Race,2.0,10.0,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,50.0,+41.613 2:06'56.731,1.492,,145.786,Race,2.0,8.0,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,50.0,+44.475 2:06'59.593,2.862,,145.732,Race,3.0,6.0,
8,C. Sainz  Ferrari,55,Ferrari,Ferrari,50.0,+46.606 2:07'01.724,2.131,,145.691,Race,2.0,4.0,
9,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,50.0,+58.505 2:07'13.623,11.899,,145.464,Race,2.0,2.0,
10,L. Norris  McLaren F1,4,McLaren,Mercedes,50.0,+1'01.358 2:07'16.476,2.853,,145.41,Race,3.0,1.0,
11,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,50.0,+1'17.212 2:07'32.330,15.854,,145.108,Race,3.0,,
12,N. Latifi  Williams,6,Williams,Mercedes,50.0,+1'23.249 2:07'38.367,6.037,,144.994,Race,3.0,,
13,F. Alonso  Alpine,14,Alpine,Renault,49.0,+1 Lap 2:06'38.699,1 Lap,,143.207,Race,4.0,,
14,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,49.0,+1 Lap 2:06'43.399,4.700,,143.119,Race,3.0,,
15,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,49.0,+1 Lap 2:06'53.478,10.079,,142.929,Race,3.0,,
dnf,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,44.0,+6 Laps 1:58'39.788,5 Laps,,137.231,Race,3.0,,ColisiÃ³n
dnf,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,14.0,+36 Laps 45'02.409,30 Laps,,114.812,Race,2.0,,ColisiÃ³n
dnf,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,14.0,+36 Laps 45'25.068,22.659,,113.857,Race,1.0,,ColisiÃ³n
dnf,G. Russell  Williams,63,Williams,Mercedes,14.0,+36 Laps 45'28.640,3.572,,113.708,Race,2.0,,ColisiÃ³n
dnf,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,8.0,+42 Laps 13'08.344,6 Laps,,224.408,Race,,,Trompo
