Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
15,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,22.0,+1.544 1'20.033,0.084,,209.298,FP3,,,
16,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,17.0,+1.601 1'20.090,0.057,,209.149,FP3,,,
17,G. Russell  Williams,63,Williams,Mercedes,18.0,+1.638 1'20.127,0.037,,209.053,FP3,,,
18,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,21.0,+1.725 1'20.214,0.087,,208.826,FP3,,,
19,N. Latifi  Williams,6,Williams,Mercedes,19.0,+2.192 1'20.681,0.467,,207.617,FP3,,,
20,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,20.0,+2.201 1'20.690,0.009,,207.594,FP3,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,8.0,1'18.722,,,212.784,Q1,,,
2,L. Norris  McLaren F1,4,McLaren,Mercedes,10.0,+0.072 1'18.794,0.072,,212.589,Q1,,,
3,L. Hamilton  Mercedes,44,Mercedes,Mercedes,9.0,+0.135 1'18.857,0.063,,212.419,Q1,,,
4,E. Ocon  Alpine,31,Alpine,Renault,8.0,+0.370 1'19.092,0.235,,211.788,Q1,,,
5,C. Sainz  Ferrari,55,Ferrari,Ferrari,6.0,+0.587 1'19.309,0.217,,211.209,Q1,,,
6,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,6.0,+0.615 1'19.337,0.028,,211.134,Q1,,,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,11.0,+0.651 1'19.373,0.036,,211.039,Q1,,,
8,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,10.0,+0.681 1'19.403,0.03,,210.959,Q1,,,
9,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,9.0,+0.688 1'19.410,0.007,,210.94,Q1,,,
10,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,10.0,+0.742 1'19.464,0.054,,210.797,Q1,,,
11,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,6.0,+0.763 1'19.485,0.021,,210.741,Q1,,,
12,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,9.0,+0.962 1'19.684,0.199,,210.215,Q1,,,
13,F. Alonso  Alpine,14,Alpine,Renault,6.0,+1.006 1'19.728,0.044,,210.099,Q1,,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,10.0,+1.026 1'19.748,0.02,,210.046,Q1,,,
15,G. Russell  Williams,63,Williams,Mercedes,8.0,+1.075 1'19.797,0.049,,209.917,Q1,,,
16,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,11.0,+1.117 1'19.839,0.042,,209.807,Q1,,,
17,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,10.0,+1.191 1'19.913,0.074,,209.612,Q1,,,
18,N. Latifi  Williams,6,Williams,Mercedes,9.0,+1.563 1'20.285,0.372,,208.641,Q1,,,
