Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
3,F. Alonso  Alpine,14,Alpine,Renault,57.0,+59.457 1:25'27.928,33.714,,215.286,Race,1.0,15.0,
4,S. PÃ©rez  Red Bull Racing,11,Red Bull,Honda,57.0,+1'02.306 1:25'30.777,2.849,,215.167,Race,2.0,12.0,
5,E. Ocon  Alpine,31,Alpine,Renault,57.0,+1'20.570 1:25'49.041,18.264,,214.404,Race,1.0,10.0,
6,L. Stroll  Aston Martin Racing,18,Aston Martin,Mercedes,57.0,+1'21.274 1:25'49.745,0.704,,214.374,Race,1.0,8.0,
7,C. Sainz  Ferrari,55,Ferrari,Ferrari,57.0,+1'21.911 1:25'50.382,0.637,,214.348,Race,1.0,6.0,
8,C. Leclerc  Ferrari,16,Ferrari,Ferrari,57.0,+1'23.126 1:25'51.597,1.215,,214.297,Race,1.0,4.0,
9,L. Norris  McLaren F1,4,McLaren,Mercedes,56.0,+1 Lap 1:24'29.186,1 Lap,,213.96,Race,2.0,2.0,
10,S. Vettel  Aston Martin Racing,5,Aston Martin,Mercedes,56.0,+1 Lap 1:24'34.067,4.881,,213.755,Race,1.0,1.0,
11,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,56.0,+1 Lap 1:24'39.660,5.593,,213.519,Race,2.0,,
12,D. Ricciardo  McLaren F1,3,McLaren,Mercedes,56.0,+1 Lap 1:25'02.071,22.411,,212.581,Race,1.0,,
13,Y. Tsunoda  Racing Bulls,22,AlphaTauri,Honda,56.0,+1 Lap 1:25'02.397,0.326,,212.568,Race,2.0,,
14,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,56.0,+1 Lap 1:25'05.206,2.809,,212.451,Race,2.0,,
15,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,56.0,+1 Lap 1:25'29.614,24.408,,211.44,Race,2.0,,
16,M. Schumacher  Haas F1 Team,47,Haas,Ferrari,56.0,+1 Lap 1:25'31.192,1.578,,211.375,Race,1.0,,
17,G. Russell  Williams,63,Williams,Mercedes,55.0,+2 Laps 1:24'46.509,1 Lap,,209.424,Race,2.0,,
18,N. Mazepin  Haas F1 Team,9,Haas,Ferrari,55.0,+2 Laps 1:25'08.856,22.347,,208.508,Race,1.0,,
dnf,N. Latifi  Williams,6,Williams,Mercedes,50.0,+7 Laps 1:15'59.831,5 Laps,,212.376,Race,1.0,,Puncture
dnf,V. Bottas  Mercedes,77,Mercedes,Mercedes,48.0,+9 Laps 1:12'40.238,2 Laps,,213.214,Race,2.0,,Puncture
