Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
1,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,8.0,53.647,,,237.754,Q2,,,
2,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,5.0,+0.140 53.787,0.14,,237.135,Q2,,,
3,V. Bottas  Mercedes,77,Mercedes,Mercedes,7.0,+0.156 53.803,0.016,,237.064,Q2,,,
4,C. Sainz  McLaren F1,55,McLaren,Renault,8.0,+0.171 53.818,0.015,,236.998,Q2,,,
5,G. Russell  Mercedes,63,Mercedes,Mercedes,7.0,+0.172 53.819,0.001,,236.994,Q2,,,
6,C. Leclerc  Ferrari,16,Ferrari,Ferrari,9.0,+0.178 53.825,0.006,,236.967,Q2,,,
7,L. Stroll  Racing Point,18,Racing Point,Mercedes,6.0,+0.193 53.840,0.015,,236.901,Q2,,,
8,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,9.0,+0.209 53.856,0.016,,236.831,Q2,,,
9,D. Ricciardo  Renault F1 Team,3,Renault,Renault,6.0,+0.224 53.871,0.015,,236.765,Q2,,,
10,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,9.0,+0.294 53.941,0.07,,236.458,Q2,,,
11,E. Ocon  Renault F1 Team,31,Renault,Renault,6.0,+0.348 53.995,0.054,,236.221,Q2,,,
12,A. Albon  Red Bull Racing,23,Red Bull,Honda,6.0,+0.379 54.026,0.031,,236.086,Q2,,,
13,S. Vettel  Ferrari,5,Ferrari,Ferrari,8.0,+0.528 54.175,0.149,,235.437,Q2,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,6.0,+0.730 54.377,0.202,,234.562,Q2,,,
15,L. Norris  McLaren F1,4,McLaren,Renault,6.0,+1.046 54.693,0.316,,233.207,Q2,,,
1,V. Bottas  Mercedes,77,Mercedes,Mercedes,9.0,53.377,,,238.956,Q3,,,
2,G. Russell  Mercedes,63,Mercedes,Mercedes,9.0,+0.026 53.403,0.026,,238.84,Q3,,,
3,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,6.0,+0.056 53.433,0.03,,238.706,Q3,,,
4,C. Leclerc  Ferrari,16,Ferrari,Ferrari,3.0,+0.236 53.613,0.18,,237.904,Q3,,,
