Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
7,E. Ocon  Renault F1 Team,31,Renault,Renault,,+0.973 1'26.242,,,214.892,Quali,,,
8,L. Norris  McLaren F1,4,McLaren,Renault,,+1.189 1'26.458,,,214.356,Quali,,,
9,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,,+1.435 1'26.704,,,213.747,Quali,,,
10,C. Sainz  McLaren F1,55,McLaren,Renault,,+1.440 1'26.709,,,213.735,Quali,,,
11,S. Vettel  Ferrari,5,Ferrari,Ferrari,,+1.469 1'26.738,,,213.664,Quali,,,
12,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,,+1.507 1'26.776,,,213.57,Quali,,,
13,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,,+1.579 1'26.848,,,213.393,Quali,,,
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,,+1.667 1'26.936,,,213.177,Quali,,,
15,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,,+1.856 1'27.125,,,212.715,Quali,,,
16,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,,+2.283 1'27.552,,,211.677,Quali,,,
17,G. Russell  Williams,63,Williams,Mercedes,,+2.295 1'27.564,,,211.648,Quali,,,
18,N. Latifi  Williams,6,Williams,Mercedes,,+2.543 1'27.812,,,211.05,Quali,,,
19,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,,+2.548 1'27.817,,,211.038,Quali,,,
20,N. Hulkenberg  Racing Point,27,Racing Point,Mercedes,,+2.752 1'28.021,,,210.549,Quali,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,60.0,1:35'49.641,,,193.233,Race,2.0,25.0,
2,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,60.0,+4.470 1:35'54.111,4.470,,193.083,Race,2.0,19.0,
3,D. Ricciardo  Renault F1 Team,3,Renault,Renault,60.0,+14.613 1:36'04.254,10.143,,192.743,Race,2.0,15.0,
4,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,60.0,+16.070 1:36'05.711,1.457,,192.694,Race,2.0,12.0,
5,C. Sainz  McLaren F1,55,McLaren,Renault,60.0,+21.905 1:36'11.546,5.835,,192.499,Race,2.0,10.0,
6,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,60.0,+22.766 1:36'12.407,0.861,,192.471,Race,2.0,8.0,
7,C. Leclerc  Ferrari,16,Ferrari,Ferrari,60.0,+30.814 1:36'20.455,8.048,,192.203,Race,2.0,6.0,
8,N. Hulkenberg  Racing Point,27,Racing Point,Mercedes,60.0,+32.596 1:36'22.237,1.782,,192.143,Race,2.0,4.0,
9,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,60.0,+39.081 1:36'28.722,6.485,,191.928,Race,1.0,2.0,
10,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,60.0,+40.035 1:36'29.676,0.954,,191.896,Race,2.0,1.0,
11,S. Vettel  Ferrari,5,Ferrari,Ferrari,60.0,+40.810 1:36'30.451,0.775,,191.871,Race,2.0,,
12,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,60.0,+41.476 1:36'31.117,0.666,,191.849,Race,2.0,,
13,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,60.0,+49.585 1:36'39.226,8.109,,191.58,Race,2.0,,
14,N. Latifi  Williams,6,Williams,Mercedes,60.0,+54.449 1:36'44.090,4.864,,191.42,Race,2.0,,
15,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,60.0,+55.588 1:36'45.229,1.139,,191.382,Race,2.0,,
dnf,L. Norris  McLaren F1,4,McLaren,Renault,42.0,+18 Laps 1:06'15.551,18 Laps,,195.552,Race,1.0,,Abandono
dnf,A. Albon  Red Bull Racing,23,Red Bull,Honda,23.0,+37 Laps 36'51.535,19 Laps,,192.313,Race,2.0,,Unidad de Potencia
dnf,E. Ocon  Renault F1 Team,31,Renault,Renault,22.0,+38 Laps 35'10.341,1 Lap,,192.753,Race,1.0,,HidrÃ¡ulico
dnf,V. Bottas  Mercedes,77,Mercedes,Mercedes,18.0,+42 Laps 28'59.777,4 Laps,,191.198,Race,2.0,,Unidad de Potencia
dnf,G. Russell  Williams,63,Williams,Mercedes,12.0,+48 Laps 19'37.453,6 Laps,,188.072,Race,1.0,,ColisiÃ³n
