Cla,Piloto,#,Chasis,Motor,Vueltas,Tiempo,Intervalo,NeumÃ¡ticos,Km/h,Sesión,Boxes,Puntos,Abandono
4,A. Albon  Red Bull Racing,23,Red Bull,Honda,,+0.810 1'15.954,,,248.597,Quali,,,
5,C. Leclerc  Ferrari,16,Ferrari,Ferrari,,+1.126 1'16.270,,,247.567,Quali,,,
6,L. Stroll  Racing Point,18,Racing Point,Mercedes,,+1.212 1'16.356,,,247.289,Quali,,,
7,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,,+1.167 1'16.311,,,247.434,Quali,,,
8,D. Ricciardo  Renault F1 Team,3,Renault,Renault,,+1.399 1'16.543,,,246.684,Quali,,,
9,C. Sainz  McLaren F1,55,McLaren,Renault,,+2.726 1'17.870,,,242.481,Quali,,,
10,E. Ocon  Renault F1 Team,31,Renault,Renault,,,,,,Quali,,,
11,L. Norris  McLaren F1,4,McLaren,Renault,,+1.496 1'16.640,,,246.372,Quali,,,
12,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,,+1.710 1'16.854,,,245.686,Quali,,,
13,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,,+1.710 1'16.854,,,245.686,Quali,,,
14,S. Vettel  Ferrari,5,Ferrari,Ferrari,,+1.714 1'16.858,,,245.673,Quali,,,
15,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,,+2.110 1'17.254,,,244.414,Quali,,,
16,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,,+1.981 1'17.125,,,244.823,Quali,,,
17,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,,+2.076 1'17.220,,,244.522,Quali,,,
18,G. Russell  Williams,63,Williams,Mercedes,,+2.088 1'17.232,,,244.484,Quali,,,
19,N. Latifi  Williams,6,Williams,Mercedes,,+2.176 1'17.320,,,244.205,Quali,,,
20,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,,+2.204 1'17.348,,,244.117,Quali,,,
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,59.0,2:19'35.060,,,133.036,Race,5.0,26.0,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,59.0,+4.880 2:19'39.940,4.880,,132.959,Race,5.0,18.0,
3,A. Albon  Red Bull Racing,23,Red Bull,Honda,59.0,+8.064 2:19'43.124,3.184,,132.908,Race,5.0,15.0,
4,D. Ricciardo  Renault F1 Team,3,Renault,Renault,59.0,+10.417 2:19'45.477,2.353,,132.871,Race,5.0,12.0,
5,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,59.0,+15.650 2:19'50.710,5.233,,132.788,Race,5.0,10.0,
6,L. Norris  McLaren F1,4,McLaren,Renault,59.0,+18.883 2:19'53.943,3.233,,132.737,Race,5.0,8.0,
7,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,59.0,+21.756 2:19'56.816,2.873,,132.691,Race,5.0,6.0,
8,C. Leclerc  Ferrari,16,Ferrari,Ferrari,59.0,+28.345 2:20'03.405,6.589,,132.587,Race,5.0,4.0,
9,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,59.0,+29.770 2:20'04.830,1.425,,132.565,Race,6.0,2.0,
10,S. Vettel  Ferrari,5,Ferrari,Ferrari,59.0,+29.983 2:20'05.043,0.213,,132.561,Race,6.0,1.0,
11,G. Russell  Williams,63,Williams,Mercedes,59.0,+32.404 2:20'07.464,2.421,,132.523,Race,5.0,,
12,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,59.0,+42.036 2:20'17.096,9.632,,132.372,Race,5.0,,
dnf,L. Stroll  Racing Point,18,Racing Point,Mercedes,42.0,+17 Laps 1:31'32.748,17 Laps,,144.407,Race,3.0,,Trompo
dnf,E. Ocon  Renault F1 Team,31,Renault,Renault,7.0,+52 Laps 15'39.081,35 Laps,,140.909,Race,2.0,,Frenos
dnf,N. Latifi  Williams,6,Williams,Mercedes,6.0,+53 Laps 13'28.971,1 Lap,,140.231,Race,,,ColisiÃ³n
dnf,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,5.0,+54 Laps 11'16.573,1 Lap,,139.764,Race,,,ColisiÃ³n
dnf,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,5.0,+54 Laps 11'18.546,1.973,,139.358,Race,,,ColisiÃ³n
dnf,C. Sainz  McLaren F1,55,McLaren,Renault,5.0,+54 Laps 11'19.454,0.908,,139.172,Race,,,ColisiÃ³n
dnf,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,0.0,,,,,Race,,,ColisiÃ³n
dnf,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,0.0,,,,,Race,,,ColisiÃ³n
